"sentiment","content"
empty,"@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =["
sadness,"Layin n bed with a headache  ughhhh...waitin on your call..."
enthusiasm,"Funeral ceremony...gloomy friday..."
neutral,"wants to hang out with friends SOON!"
worry,"@dannycastillo We want to trade with someone who has Houston tickets", but no one will."
surprise","Re-pinging @ghostridah14: why didn\"t you go to prom? BC my bf didn\"t like my friends"
love,"I should be sleep", but im not! thinking about an old friend who I want. but he\"s married now. damn", &amp; he wants me 2! scandalous!"
fun,"Hmmm. http://www.djhero.com/ is down"
hate,"@charviray Charlene my love. I miss you"
happiness,"@kelcouch I\"m sorry  at least it\"s Friday?"
boredom,"cant fall asleep"
relief,"Choked on her retainers"
anger,"Ugh! I have to beat this stupid song to get to the next  rude!"
